year,id,count(arstmade),count(addrpct),freq
2005,71,0,0,0.01
2005,76,46,2,0.01
2005,77,220,1106,0.198915009041591
2005,79,182,8719,0.020873953435027
2005,83,70,6694,0.0104571257842844
2005,84,21,5114,0.01
2006,71,142,224,0.643928571428571
2006,76,231,4194,0.0550786838340486
2006,77,138,3960,0.0348484848484849
2006,79,267,8530,0.0313012895662368
2006,83,135,15865,0.01
2006,84,116,5745,0.0201914708442124
2007,71,190,3646,0.052111903455842
2007,76,270,4299,0.0628053035589672
2007,77,360,4060,0.0886699507389163
2007,79,827,9099,0.090889108693263
2007,83,246,18876,0.0130324221233312
2007,84,141,6850,0.0205839416058394
2008,71,213,3043,0.0699967137693066
2008,76,256,4817,0.0531451110649782
2008,77,701,5546,0.126397403534079
2008,79,952,8321,0.114409325802187
2008,83,566,18609,0.0304153904024934
2008,84,281,9296,0.0302280550774527
2009,71,281,3509,0.0800797948133371
2009,76,324,6865,0.0471959213401311
2009,77,719,5421,0.132632355653938
2009,79,1096,10375,0.105638554216867
2009,83,568,20726,0.0274051915468494
2009,84,281,9436,0.0297795676133955
2010,71,268,4010,0.0668329177057357
2010,76,300,7212,0.0415973377703827
2010,77,539,5502,0.0979643765903308
2010,79,768,11044,0.0695400217312568
2010,83,685,15304,0.0447595399895452
2010,84,367,9575,0.0383289817232376
2011,71,527,4360,0.120871559633028
2011,76,248,6014,0.0412371134020619
2011,77,492,4659,0.10560206052801
2011,79,551,11399,0.0483375734713571
2011,83,773,14493,0.0533360932864141
2011,84,298,15021,0.0198388922175621